idx,x,y,line,s_mm,pmod,sigma,vel,w,d,asym,pinned
22,5.25,0.0,0,5.25,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
23,5.5,0.0,0,5.5,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
24,5.75,0.0,0,5.75,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
25,6.0,0.0,0,6.0,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
26,6.25,0.0,0,6.25,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
27,6.5,0.0,0,6.5,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
28,6.75,0.0,0,6.75,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
29,7.0,0.0,0,7.0,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
30,7.25,0.0,0,7.25,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
31,7.5,0.0,0,7.5,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
32,7.75,0.0,0,7.75,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
33,8.0,0.0,0,8.0,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
34,8.25,0.0,0,8.25,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
35,8.5,0.0,0,8.5,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
36,8.75,0.0,0,8.75,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
37,9.0,0.0,0,9.0,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
38,9.25,0.0,0,9.25,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
39,9.5,0.0,0,9.5,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
40,9.75,0.0,0,9.75,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
41,10.0,0.0,0,10.0,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
