t,beam_x,length,width,depth,trail,lead
0.0023,6.8999999999999995,2.05,0.3,0.060000000000000005,1.9499999999999993,0.10000000000000053
0.00235,7.050000000000001,2.1999999999999993,0.3,0.060000000000000005,1.9500000000000002,0.2499999999999991
0.0024000000000000002,7.200000000000001,2.2,0.3,0.060000000000000005,1.950000000000001,0.2499999999999991
0.00245,7.35,2.05,0.3,0.060000000000000005,1.9499999999999993,0.10000000000000053
0.0025,7.5,2.05,0.3,0.060000000000000005,1.9500000000000002,0.09999999999999964
0.00255,7.65,2.2,0.3,0.060000000000000005,1.9500000000000002,0.25
0.0026000000000000003,7.800000000000001,2.05,0.3,0.060000000000000005,1.9500000000000002,0.09999999999999964
0.00265,7.95,2.0500000000000007,0.3,0.060000000000000005,1.9500000000000002,0.10000000000000053
0.0027,8.1,2.1999999999999993,0.3,0.060000000000000005,1.9499999999999993,0.25
0.0027500000000000003,8.25,2.05,0.3,0.060000000000000005,1.9500000000000002,0.09999999999999964
0.0028,8.4,2.05,0.3,0.060000000000000005,1.9500000000000002,0.09999999999999964
0.00285,8.55,2.200000000000001,0.3,0.060000000000000005,1.950000000000001,0.25
0.0029000000000000002,8.700000000000001,2.1999999999999993,0.3,0.060000000000000005,1.950000000000001,0.24999999999999822
0.00295,8.85,2.05,0.3,0.060000000000000005,1.9500000000000002,0.09999999999999964
0.003,9.0,2.05,0.3,0.060000000000000005,1.9500000000000002,0.09999999999999964
0.00305,9.15,2.2,0.3,0.060000000000000005,1.9500000000000002,0.25
0.0031000000000000003,9.3,2.0500000000000007,0.3,0.060000000000000005,1.950000000000001,0.09999999999999964
0.00315,9.45,2.049999999999999,0.3,0.060000000000000005,1.9499999999999993,0.09999999999999964
0.0032,9.6,2.0500000000000016,0.3,0.060000000000000005,1.9500000000000002,0.10000000000000142
0.0032500000000000003,9.75,2.05,0.3,0.060000000000000005,1.9500000000000002,0.09999999999999964
0.0033,9.9,2.05,0.3,0.060000000000000005,1.9500000000000002,0.09999999999999964
0.00335,10.0,1.950000000000001,0.2,0.060000000000000005,1.9000000000000004,0.05000000000000071
