idx,x,y,line,s_mm,pmod,sigma,w,d,asym,pinned
36,0.0,1.1,11,120.0,0.7727633884457363,0.00021015890287794952,0.0001638776779174805,6.351751327514647e-05,5.420303344726629e-06,
38,5.0,1.2,12,125.0,0.6717300453605313,0.0002029365649377536,0.0001638885974884032,6.353414535522459e-05,-1.4485645294189456e-05,
39,10.0,1.2,12,130.0,0.7727633884457363,0.00021015890287794952,0.0001639255523681641,6.356546401977537e-05,-5.466651916503831e-06,
41,5.0,1.3,13,135.0,0.6717300453605313,0.0002029365649377536,0.00016403951644897456,6.362983703613281e-05,1.4589691162109281e-05,
42,0.0,1.3,13,140.0,0.7727633884457363,0.00021015890287794952,0.000164020586013794,6.370100021362303e-05,5.5247306823731374e-06,
44,5.0,1.4,14,145.0,0.6717300453605313,0.0002029365649377536,0.00016419277191162106,6.377555847167967e-05,-1.4694213867187406e-05,
45,10.0,1.4,14,150.0,0.7727633884457363,0.00021015890287794952,0.0001640782356262207,6.377815246582031e-05,-5.567169189453188e-06,
47,5.0,1.5,15,155.0,0.6717300453605313,0.0002029365649377536,0.00016432318687438963,6.387342453002928e-05,1.4785861968994026e-05,
48,0.0,1.5,15,160.0,0.7727633884457363,0.00021015890287794952,0.00016415014266967767,6.388031005859373e-05,5.611038208007705e-06,
50,5.0,1.6,16,165.0,0.662977617260154,0.00020296806455776897,0.00016373147964477536,6.334287643432616e-05,-1.5008163452148466e-05,
51,10.0,1.6,16,170.0,0.7727633884457363,0.00021015890287794952,0.000164199161529541,6.394495010375974e-05,-5.644226074218552e-06,
53,5.0,1.7,17,175.0,0.662977617260154,0.00020296806455776897,0.00016379776000976566,6.342290878295898e-05,1.5056800842285119e-05,
54,0.0,1.7,17,180.0,0.7727633884457363,0.00021015890287794952,0.00016421532630920416,6.395494461059568e-05,5.664157867431643e-06,
56,5.0,1.8,18,185.0,0.662977617260154,0.00020296806455776897,0.0001638555526733399,6.345375061035156e-05,-1.5097808837890702e-05,
57,10.0,1.8,18,190.0,0.7640030903408069,0.00021055727637624236,0.00016376967430114739,6.33445930480957e-05,-5.734157562255855e-06,
59,5.0,1.9,19,195.0,0.662977617260154,0.00020296806455776897,0.00016384701728820803,6.339576721191406e-05,1.5097713470459085e-05,
60,0.0,1.9,19,200.0,0.7640030903408069,0.00021055727637624236,0.00016379575729370105,6.337627410888671e-05,5.753135681152346e-06,
62,5.0,2.0,20,205.0,0.662977617260154,0.00020296806455776897,0.00016388058662414556,6.343763351440428e-05,-1.5122509002685495e-05,
63,10.0,2.0,20,210.0,0.7640030903408069,0.00021055727637624236,0.00016379461288452155,6.336570739746094e-05,-5.7540893554687295e-06,
65,5.0,2.1,21,215.0,0.662977617260154,0.00020296806455776897,0.00016391124725341792,6.345085144042969e-05,1.5146255493164121e-05,
66,0.0,2.1,21,220.0,0.7640030903408069,0.00021055727637624236,0.0001638180255889892,6.339458465576172e-05,5.768489837646535e-06,
68,5.0,2.2,22,225.0,0.662977617260154,0.00020296806455776897,0.0001639465808868408,6.348611831665039e-05,-1.5170574188232448e-05,
69,10.0,2.2,22,230.0,0.7640030903408069,0.00021055727637624236,0.0001638273239135742,6.340370178222656e-05,-5.7756423950195215e-06,
71,5.0,2.3,23,235.0,0.662977617260154,0.00020296806455776897,0.0001639770030975341,6.350595474243162e-05,1.5189647674560556e-05,
