idx,x,y,line,s_mm,pmod,sigma,w,d,asym,pinned
36,0.0,1.1,11,120.0,0.7480195310846378,0.00020971876863038537,0.00016385393142700187,6.349420547485351e-05,7.996368408203164e-06,
38,5.0,1.2,12,125.0,0.6320708771902068,0.00020378649238369807,0.0001636987686157227,6.333946228027343e-05,-2.0358276367187433e-05,
39,10.0,1.2,12,130.0,0.7480195310846378,0.00020971876863038537,0.00016393241882324213,6.359500885009763e-05,-8.065605163574225e-06,
41,5.0,1.3,13,135.0,0.6320708771902068,0.00020378649238369807,0.00016380581855773922,6.345642089843748e-05,2.046117782592764e-05,
42,0.0,1.3,13,140.0,0.7480195310846378,0.00020971876863038537,0.0001639590263366699,6.361862182617187e-05,8.105278015136741e-06,
44,5.0,1.4,14,145.0,0.6320708771902068,0.00020378649238369807,0.0001638947010040283,6.350069046020507e-05,-2.0538043975830205e-05,
45,10.0,1.4,14,150.0,0.7480195310846378,0.00020971876863038537,0.0001640268325805664,6.370656967163085e-05,-8.159065246582213e-06,
47,5.0,1.5,15,155.0,0.6320708771902068,0.00020378649238369807,0.00016399264335632325,6.359174728393555e-05,2.0623493194580223e-05,
48,0.0,1.5,15,160.0,0.7480195310846378,0.00020971876863038537,0.0001640629291534423,6.375373840332031e-05,8.189868927001992e-06,
50,5.0,1.6,16,165.0,0.6320708771902068,0.00020378649238369807,0.00016407442092895516,6.364740371704101e-05,-2.0691490173339834e-05,
51,10.0,1.6,16,170.0,0.7480195310846378,0.00020971876863038537,0.00016411285400390622,6.381595611572264e-05,-8.232498168945493e-06,
53,5.0,1.7,17,175.0,0.6320708771902068,0.00020378649238369807,0.00016414995193481444,6.371389389038084e-05,2.075634002685566e-05,
54,0.0,1.7,17,180.0,0.7480195310846378,0.00020971876863038537,0.00016414341926574707,6.385837554931639e-05,8.256435394287135e-06,
56,5.0,1.8,18,185.0,0.6320708771902068,0.00020378649238369807,0.00016421265602111813,6.376146316528319e-05,-2.081003189086908e-05,
57,10.0,1.8,18,190.0,0.7480195310846378,0.00020971876863038537,0.0001641790866851807,6.390390396118163e-05,-8.286571502685598e-06,
