idx,x,y,line,s_mm,pmod,sigma,w,d,asym,clipped
120,0.0,3.9,39,400.0,1.0,0.0002,0.00017653970718383794,9.054579734802244e-05,6.885528564453151e-06,
122,5.0,4.0,40,405.0,1.0,0.0002,0.00018857207298278813,0.00010021610260009764,-1.6054248809814486e-05,
123,10.0,4.0,40,410.0,1.0,0.0002,0.0001765430450439454,9.055486679077147e-05,-6.888961791992219e-06,
125,5.0,4.1,41,415.0,1.0,0.0002,0.00018857703208923328,0.00010022710800170899,1.6057872772216788e-05,
126,0.0,4.1,41,420.0,1.0,0.0002,0.00017654604911804207,9.056094169616698e-05,6.8917274475097535e-06,
128,5.0,4.2,42,425.0,1.0,0.0002,0.00018858141899108884,0.00010023444175720215,-1.606225967407224e-05,
129,10.0,4.2,42,430.0,1.0,0.0002,0.00017654852867126454,9.057003974914551e-05,-6.8934440612792875e-06,
131,5.0,4.3,43,435.0,1.0,0.0002,0.00018858556747436525,0.00010024543762207031,1.6064262390136624e-05,
132,0.0,4.3,43,440.0,1.0,0.0002,0.00017655072212219237,9.0576114654541e-05,6.894588470459121e-06,
134,5.0,4.4,44,445.0,1.0,0.0002,0.00018858919143676755,0.00010025272369384766,-1.606712341308599e-05,
135,10.0,4.4,44,450.0,1.0,0.0002,0.00017655267715454095,9.057914733886718e-05,-6.895256042480438e-06,
137,5.0,4.5,45,455.0,1.0,0.0002,0.0001885929584503174,0.00010025986671447753,1.606950759887706e-05,
138,0.0,4.5,45,460.0,1.0,0.0002,0.00017655487060546878,9.058521270751953e-05,6.896400451660272e-06,
140,5.0,4.6,46,465.0,1.0,0.0002,0.00018859629631042473,0.00010026372909545899,-1.607294082641591e-05,
141,10.0,4.6,46,470.0,1.0,0.0002,0.00017655568122863763,9.058821678161621e-05,-6.898021697997973e-06,
143,5.0,4.7,47,475.0,1.0,0.0002,0.0001885987281799316,0.00010027086257934569,1.607475280761706e-05,
144,0.0,4.7,47,480.0,1.0,0.0002,0.00017655739784240717,9.059161186218261e-05,6.898021697997973e-06,
146,5.0,4.8,48,485.0,1.0,0.0002,0.0001886012077331543,0.00010027472496032714,-1.6076469421386595e-05,
