idx,x,y,line,s_mm,pmod,sigma,w,d,asym,pinned
35,4.364915,1.1,11,108.64914999999999,0.7082387019200289,0.00020179407068003855,0.00016393079757690433,6.342638015747069e-05,1.1338233947754024e-05,
36,0.635085,1.1,11,112.37897999999998,0.7637538197984243,0.0002070908666270815,0.00016404447555542004,6.369163513183593e-05,6.369972229003894e-06,
38,5.69282,1.2,12,117.37897999999998,0.7082387019200289,0.00020179407068003855,0.00016414384841918934,6.359237670898436e-05,-1.151943206787083e-05,
39,9.30718,1.2,12,120.99333999999999,0.7637538197984243,0.0002070908666270815,0.00016425600051879876,6.390350341796874e-05,-6.540107727050562e-06,
41,4.249445,1.3,13,125.99333999999999,0.7082387019200289,0.00020179407068003855,0.00016440515518188477,6.37593078613281e-05,1.173267364501995e-05,
42,0.750555,1.3,13,129.49222999999998,0.7517785193291231,0.00020731608250066966,0.00016372432708740238,6.33818244934082e-05,6.81533813476614e-06,
44,5.8082899999999995,1.4,14,134.49222999999998,0.7082387019200289,0.00020179407068003855,0.0001646043777465821,6.392518997192382e-05,-1.190910339355462e-05,
45,9.19171,1.4,14,137.87564999999998,0.7517785193291231,0.00020731608250066966,0.00016392993927001956,6.359903335571287e-05,-6.98318481445314e-06,
47,4.1339749999999995,1.5,15,142.87564999999998,0.6966530258322585,0.00020142425276213388,0.00016367731094360342,6.334032058715819e-05,1.2229728698730583e-05,
48,0.866025,1.5,15,146.1436,0.7517785193291231,0.00020731608250066966,0.000164122486114502,6.379234313964844e-05,7.14130401611307e-06,
50,5.92376,1.6,16,151.1436,0.6966530258322585,0.00020142425276213388,0.00016373405456542966,6.335922241210937e-05,-1.2339019775390193e-05,
51,9.07624,1.6,16,154.29608,0.7517785193291231,0.00020731608250066966,0.00016425123214721662,6.390594482421873e-05,-7.282447814941327e-06,
53,4.018504999999999,1.7,17,159.29608,0.6966530258322585,0.00020142425276213388,0.00016387081146240225,6.343475341796874e-05,1.2485122680664252e-05,
54,0.981495,1.7,17,162.33309,0.7413008365198765,0.0002075439051179655,0.0001637388229370118,6.338253021240234e-05,7.5168609619141215e-06,
56,6.03923,1.8,18,167.33309,0.6966530258322585,0.00020142425276213388,0.0001639804840087892,6.352077484130859e-05,-1.2617492675781172e-05,
57,8.96077,1.8,18,170.25463,0.7413008365198765,0.0002075439051179655,0.00016388607025146482,6.35361862182617e-05,-7.661819458007913e-06,
59,3.903034000000001,1.9,19,175.25463,0.6966530258322585,0.00020142425276213388,0.0001640839576721191,6.36151885986328e-05,1.2747001647949157e-05,
60,1.096966,1.9,19,178.060698,0.7413008365198765,0.0002075439051179655,0.00016401882171630843,6.367017745971678e-05,7.794570922851733e-06,
62,6.154701,2.0,20,183.060698,0.6966530258322585,0.00020142425276213388,0.00016419391632080068,6.370330810546873e-05,-1.288108825683561e-05,
63,8.845299,2.0,20,185.751296,0.7413008365198765,0.0002075439051179655,0.00016416397094726567,6.38278007507324e-05,-7.939910888671558e-06,
65,3.7875639999999997,2.1,21,190.751296,0.6966530258322585,0.00020142425276213388,0.0001643019676208495,6.379354476928711e-05,1.3015174865722932e-05,
66,1.212436,2.1,21,193.326424,0.7328241276458547,0.00020778518677312194,0.00016376018524169914,6.338035583496092e-05,8.151626586914377e-06,
68,6.270171000000001,2.2,22,198.326424,0.6966530258322585,0.00020142425276213388,0.00016440515518188477,6.387584686279297e-05,-1.3149070739745718e-05,
69,8.729829,2.2,22,200.786082,0.7328241276458547,0.00020778518677312194,0.00016390247344970701,6.353782653808592e-05,-8.298110961913602e-06,
71,3.6720939999999986,2.3,23,205.786082,0.6966530258322585,0.00020142425276213388,0.00016448097229003911,6.395763397216796e-05,1.3267898559570467e-05,
72,1.327906,2.3,23,208.13027,0.7328241276458547,0.00020778518677312194,0.00016401052474975582,6.364881515502928e-05,8.426475524902187e-06,
74,6.385641,2.4,24,213.13027,0.6865423636936051,0.00020131509456775755,0.00016370811462402342,6.334255218505859e-05,-1.3544845581054277e-05,
75,8.614359,2.4,24,215.358988,0.7328241276458547,0.00020778518677312194,0.00016414861679077148,6.380369186401367e-05,-8.577537536621181e-06,
77,3.5566239999999993,2.5,25,220.358988,0.6865423636936051,0.00020131509456775755,0.00016368446350097663,6.33042526245117e-05,1.361694335937514e-05,
78,1.443376,2.5,25,222.472236,0.7328241276458547,0.00020778518677312194,0.00016421527862548824,6.385322570800781e-05,8.695983886719029e-06,
80,6.501110999999999,2.6,26,227.472236,0.6865423636936051,0.00020131509456775755,0.0001637454986572267,6.331701278686523e-05,-1.3733291625976553e-05,
81,8.498889,2.6,26,229.47001400000002,0.7240519128516381,0.00020799267833547253,0.0001637548446655273,6.33816337585449e-05,-8.92333984375002e-06,
83,3.441153999999999,2.7,27,234.47001400000002,0.6865423636936051,0.00020131509456775755,0.0001637876510620119,6.335105895996092e-05,1.3838195800781362e-05,
84,1.558846,2.7,27,236.35232200000002,0.7240519128516381,0.00020799267833547253,0.00016385793685913075,6.349336624145507e-05,9.059333801269675e-06,
86,6.616581,2.8,28,241.35232200000002,0.6865423636936051,0.00020131509456775755,0.00016383237838745119,6.339429855346679e-05,-1.3944816589355272e-05,
