idx,x,y,line,s_mm,pmod,sigma,w,d,asym,pinned
35,4.364915,1.1,11,108.64914999999999,0.655145109373053,0.0002038479879379625,0.0001651741027832031,6.353528976440429e-05,2.0531082153320453e-05,
36,0.635085,1.1,11,112.37897999999998,0.7121854246291633,0.00020619367730592892,0.00016374330520629887,6.334306716918945e-05,1.2433052062988097e-05,
38,5.69282,1.2,12,117.37897999999998,0.655145109373053,0.0002038479879379625,0.00016546173095703122,6.3695068359375e-05,-2.0916366577148574e-05,
39,9.30718,1.2,12,120.99333999999999,0.7121854246291633,0.00020619367730592892,0.00016408004760742195,6.363693237304688e-05,-1.2834167480468492e-05,
41,4.249445,1.3,13,125.99333999999999,0.6434573187380139,0.0002017252637213712,0.00016358699798583987,6.333406448364256e-05,2.1593856811523513e-05,
42,0.750555,1.3,13,129.49222999999998,0.7121854246291633,0.00020619367730592892,0.00016432027816772467,6.385416030883789e-05,1.3144111633300783e-05,
44,5.8082899999999995,1.4,14,134.49222999999998,0.6434573187380139,0.0002017252637213712,0.00016365575790405285,6.330192565917969e-05,-2.1851158142089516e-05,
45,9.19171,1.4,14,137.87564999999998,0.7025231090691932,0.00020614274904177598,0.00016372642517089838,6.334318161010743e-05,-1.3615417480468406e-05,
47,4.1339749999999995,1.5,15,142.87564999999998,0.6434573187380139,0.0002017252637213712,0.0001638113975524903,6.334753036499024e-05,2.2140693664550633e-05,
48,0.866025,1.5,15,146.1436,0.7025231090691932,0.00020614274904177598,0.00016398143768310536,6.357173919677733e-05,1.3949966430664307e-05,
50,5.92376,1.6,16,151.1436,0.6434573187380139,0.0002017252637213712,0.00016389923095703118,6.341703414916992e-05,-2.2380447387695263e-05,
51,9.07624,1.6,16,154.29608,0.7025231090691932,0.00020614274904177598,0.0001641306877136232,6.368143081665037e-05,-1.4220619201660116e-05,
53,4.018504999999999,1.7,17,159.29608,0.6434573187380139,0.0002017252637213712,0.00016406011581420908,6.349777221679686e-05,2.268505096435572e-05,
54,0.981495,1.7,17,162.33309,0.7025231090691932,0.00020614274904177598,0.00016437511444091814,6.389921188354491e-05,1.456413269042972e-05,
56,6.03923,1.8,18,167.33309,0.6434573187380139,0.0002017252637213712,0.00016417512893676764,6.357463836669921e-05,-2.2950935363769392e-05,
57,8.96077,1.8,18,170.25463,0.6922565299720235,0.0002061371813944834,0.0001637187004089357,6.334260940551756e-05,-1.5030860900878875e-05,
59,3.903034000000001,1.9,19,175.25463,0.6434573187380139,0.0002017252637213712,0.00016432647705078127,6.365755081176757e-05,2.3255920410156315e-05,
60,1.096966,1.9,19,178.060698,0.6922565299720235,0.0002061371813944834,0.00016395711898803704,6.355216979980467e-05,1.538333892822305e-05,
62,6.154701,2.0,20,183.060698,0.6434573187380139,0.0002017252637213712,0.0001643956184387207,6.373207092285154e-05,-2.3491096496582042e-05,
63,8.845299,2.0,20,185.751296,0.6922565299720235,0.0002061371813944834,0.00016407842636108404,6.364316940307615e-05,-1.5641593933105654e-05,
