idx,x,y,line,s_mm,pmod,sigma,w,d,asym,clipped
113,2.863804,3.7,37,298.096944,1.0,0.0002,0.00018843593597412116,9.883390426635743e-05,1.65828704833987e-05,
114,2.136196,3.7,37,298.824552,1.0,0.0002,0.00018257904052734384,9.719419479370115e-05,1.2236404418945485e-05,
116,7.193931,3.8,38,303.824552,1.0,0.0002,0.0001883976936340331,9.896464347839356e-05,-1.665477752685546e-05,
117,7.806069,3.8,38,304.43669,1.0,0.0002,0.00018273134231567385,9.756383895874023e-05,-1.2457466125488474e-05,
119,2.748334,3.9,39,309.43669,1.0,0.0002,0.00018826093673706052,9.909253120422363e-05,1.6655540466308395e-05,
120,2.251666,3.9,39,309.933358,1.0,0.0002,0.00018288412094116216,9.793591499328614e-05,1.2684822082519465e-05,
122,7.309400999999999,4.0,40,314.933358,1.0,0.0002,0.0001879357337951661,9.921666145324705e-05,-1.651630401611334e-05,
123,7.690599,4.0,40,315.314556,1.0,0.0002,0.0001830395698547364,9.831266403198243e-05,-1.2917518615722292e-05,
125,2.6328639999999996,4.1,41,320.314556,1.0,0.0002,0.00018727931976318364,9.934322357177733e-05,1.613807678222702e-05,
126,2.367136,4.1,41,320.580284,1.0,0.0002,0.0001831964492797851,9.870133399963378e-05,1.3154602050781655e-05,
128,7.4248709999999996,4.2,42,325.580284,1.0,0.0002,0.00018610649108886717,9.946365356445312e-05,-1.5398025512695056e-05,
129,7.575129,4.2,42,325.730542,1.0,0.0002,0.00018335618972778315,9.909892082214354e-05,-1.339931488037122e-05,
131,2.5173940000000004,4.3,43,330.730542,1.0,0.0002,0.0001842625617980956,9.958390235900879e-05,1.4188194274902637e-05,
132,2.482606,4.3,43,330.76533,1.0,0.0002,0.00018351831436157228,9.949892997741699e-05,1.3649177551269386e-05,
134,7.459659,4.4,44,335.684648,1.0,0.0002,0.00018368177413940426,9.990579605102538e-05,-1.3907814025878457e-05,
136,2.598076,4.5,45,340.488496,1.0,0.0002,0.00018384885787963877,0.00010033555984497068,1.4172554016113163e-05,
138,7.344189,4.6,46,345.176874,1.0,0.0002,0.00018401899337768543,0.0001009390926361084,-1.444492340087894e-05,
140,2.713546,4.7,47,349.749782,1.0,0.0002,0.00018419170379638684,0.000101591100692749,1.4726257324218853e-05,
142,7.228719,4.8,48,354.20722,1.0,0.0002,0.0001843678474426271,0.00010225764274597167,-1.5014457702636468e-05,
144,2.829016,4.9,49,358.549188,1.0,0.0002,0.00018454780578613266,0.00010294861793518065,1.531181335449232e-05,
146,7.113249,5.0,50,362.775686,1.0,0.0002,0.00018473062515258804,0.0001036610221862793,-1.561832427978511e-05,
148,2.944486,5.1,51,366.886714,1.0,0.0002,0.0001849172592163085,0.00010439273834228515,1.593437194824217e-05,
150,6.997779,5.2,52,370.882272,1.0,0.0002,0.0001851089477539062,0.00010515538215637206,-1.626052856445277e-05,
152,3.059956,5.3,53,374.76236,1.0,0.0002,0.00018530416488647455,0.00010594885826110839,1.659717559814467e-05,
154,6.882309,5.4,54,378.526978,1.0,0.0002,0.0001855029106140136,0.0001067674922943115,-1.6944313049316144e-05,
156,3.175426,5.5,55,382.176126,1.0,0.0002,0.0001857075691223144,0.00010761545181274412,1.730327606201199e-05,
158,6.766838,5.6,56,385.709802,1.0,0.0002,0.00018591661453247065,0.00010848803520202636,-1.7674446105956938e-05,
160,3.290897,5.7,57,389.128008,1.0,0.0002,0.0001861435890197754,0.00010938348770141602,1.8084907531738803e-05,
162,6.651368,5.8,58,392.430744,1.0,0.0002,0.00018639965057373037,0.00011029238700866698,-1.8556594848632892e-05,
164,3.406367,5.9,59,395.61801,1.0,0.0002,0.00018666276931762695,0.00011120038032531737,1.9044685363769822e-05,
166,6.535898,6.0,60,398.68980600000003,1.0,0.0002,0.0001878494262695313,0.00011207131385803222,-2.1384429931640796e-05,
168,3.521837,6.1,61,401.646132,1.0,0.0002,0.00018921489715576184,0.0001128712272644043,2.408218383789058e-05,
170,6.420428,6.2,62,404.486988,1.0,0.0002,0.00019077119827270528,0.00011358259201049804,-2.7168083190917854e-05,
172,3.637307,6.3,63,407.212374,1.0,0.0002,0.00019228963851928714,0.00011418533325195312,3.0181312561035432e-05,
174,6.304958,6.4,64,409.82229,1.0,0.0002,0.00019376525878906248,0.0001146506404876709,-3.3112335205078176e-05,
176,3.752777,6.5,65,412.316736,1.0,0.0002,0.0001951981544494627,0.000115,3.596286773681649e-05,
178,6.189488,6.6,66,414.695712,1.0,0.0002,0.00019659090042114255,0.0001151724338531494,-3.873653411865224e-05,
180,3.868247,6.7,67,416.959218,1.0,0.0002,0.00019794731140136712,0.00011521286010742187,4.144401550292996e-05,
182,6.074018,6.8,68,419.107254,1.0,0.0002,0.00019926805496215815,0.00011507339477539061,-4.408664703369142e-05,
184,3.983717,6.9,69,421.13982,1.0,0.0002,0.0002005590438842774,0.00011473381996154785,4.667243957519546e-05,
186,5.958548,7.0,70,423.056916,1.0,0.0002,0.0002018189430236816,0.00011418742179870604,-4.920635223388658e-05,
188,4.099187,7.1,71,424.858542,1.0,0.0002,0.00020305128097534183,0.00011340878486633301,5.168933868408181e-05,
190,5.843078,7.2,72,426.544698,1.0,0.0002,0.00020426397323608405,0.0001124264335632324,-5.413951873779266e-05,
192,4.214657,7.3,73,428.115384,1.0,0.0002,0.00020544672012329083,0.00011116213798522949,5.653934478759776e-05,
194,5.727608,7.4,74,429.5706,1.0,0.0002,0.0002066128730773924,0.00010959011077880858,-5.8913993835449114e-05,
196,4.330127,7.5,75,430.910346,1.0,0.0002,0.0002077430725097656,0.00010772057533264159,6.122550964355504e-05,
198,5.612138,7.6,76,432.134622,1.0,0.0002,0.000208824062347412,0.00010540855407714842,-6.34481430053708e-05,
200,4.445597,7.7,77,433.243428,1.0,0.0002,0.0002098011016845704,0.00010271342277526856,6.547546386718745e-05,
202,5.496668,7.8,78,434.236764,1.0,0.0002,0.00021062669754028335,9.942129135131835e-05,-6.721324920654298e-05,
204,4.561067,7.9,79,435.11463,1.0,0.0002,0.00021115026473999014,9.551156044006347e-05,6.836528778076181e-05,
206,5.381198,8.0,80,435.877026,1.0,0.0002,0.00021121902465820312,9.079754829406737e-05,-6.863670349121056e-05,
208,4.676537,8.1,81,436.523952,1.0,0.0002,0.0002104640007019043,8.49271011352539e-05,6.730899810790999e-05,
210,5.265728,8.2,82,437.055408,1.0,0.0002,0.00020896100997924803,7.801189422607422e-05,-6.460018157958963e-05,
212,4.792007,8.3,83,437.471394,1.0,0.0002,0.00020610446929931634,6.912115097045898e-05,5.950431823730472e-05,
214,5.150258,8.4,84,437.77191,1.0,0.0002,0.00020120267868041996,5.7440032958984357e-05,-5.175380706787117e-05,
216,4.907477,8.5,85,437.956956,1.0,0.0002,0.0001889777183532715,4.1867256164550764e-05,3.681735992431623e-05,
218,5.034788,8.6,86,438.026532,1.0,0.0002,0.00016231994628906248,2.2370204925537088e-05,-3.369483947753861e-05,
