idx,x,y,line,s_mm,pmod,sigma,w,d,asym,clipped
114,2.136196,3.7,37,298.824552,1.0,0.0002,0.00021600894927978516,0.00011604253768920898,7.753601074218797e-05,
116,7.193931,3.8,38,303.824552,1.0,0.0002,0.00022632570266723634,0.00012497085571289062,-9.423160552978534e-05,
117,7.806069,3.8,38,304.43669,1.0,0.0002,0.00021898174285888664,0.00011709967613220213,-8.3525466918945e-05,
119,2.748334,3.9,39,309.43669,1.0,0.0002,0.00022785596847534192,0.0001255229091644287,9.749431610107419e-05,
120,2.251666,3.9,39,309.933358,1.0,0.0002,0.00022191343307495113,0.00011828359603881835,8.944225311279322e-05,
122,7.309400999999999,4.0,40,314.933358,1.0,0.0002,0.00022942104339599605,0.00012607142448425293,-0.00010089073181152302,
123,7.690599,4.0,40,315.314556,1.0,0.0002,0.00022483797073364242,0.00012072672843933105,-9.535083770751936e-05,
125,2.6328639999999996,4.1,41,320.314556,1.0,0.0002,0.00023099546432495122,0.0001266168212890625,0.0001044809341430664,
126,2.367136,4.1,41,320.580284,1.0,0.0002,0.00022771739959716797,0.000123026123046875,0.0001011772155761724,
128,7.4248709999999996,4.2,42,325.580284,1.0,0.0002,0.0002325211524963379,0.00012715603828430174,-0.00010841274261474618,
129,7.575129,4.2,42,325.730542,1.0,0.0002,0.00023056869506835943,0.00012521326065063475,-0.00010695762634277363,
131,2.5173940000000004,4.3,43,330.730542,1.0,0.0002,0.00023388528823852536,0.00012769771575927734,0.00011291675567626962,
132,2.482606,4.3,43,330.76533,1.0,0.0002,0.00023338537216186536,0.000127264986038208,0.00011267528533935546,
134,7.459659,4.4,44,335.684648,1.0,0.0002,0.00023619537353515617,0.00012920578002929687,-0.00011839027404785159,
136,2.598076,4.5,45,340.488496,1.0,0.0002,0.00023907546997070303,0.00013102124214172363,0.00012425613403320348,
138,7.344189,4.6,46,345.176874,1.0,0.0002,0.00024240236282348638,0.00013272491455078124,-0.0001310258865356447,
140,2.713546,4.7,47,349.749782,1.0,0.0002,0.00024575138092041023,0.0001343213081359863,0.00013784751892089884,
142,7.228719,4.8,48,354.20722,1.0,0.0002,0.00024914588928222673,0.00013581031799316407,-0.0001447738647460937,
144,2.829016,4.9,49,358.549188,1.0,0.0002,0.00025255546569824213,0.00013718605995178222,0.00015174217224121116,
146,7.113249,5.0,50,362.775686,1.0,0.0002,0.000256021785736084,0.0001384572124481201,-0.0001588373184204096,
148,2.944486,5.1,51,366.886714,1.0,0.0002,0.0002595331192016602,0.00013961917877197265,0.00016603469848632804,
150,6.997779,5.2,52,370.882272,1.0,0.0002,0.00026310739517211926,0.00014068039894104005,-0.0001733713150024411,
152,3.059956,5.3,53,374.76236,1.0,0.0002,0.0002679287910461426,0.00014163264274597167,0.00018321819305419955,
154,6.882309,5.4,54,378.526978,1.0,0.0002,0.0002729313850402832,0.00014247779846191406,-0.0001934423446655273,
156,3.175426,5.5,55,382.176126,1.0,0.0002,0.00027937040328979493,0.00014321258544921876,0.00020655727386474643,
158,6.766838,5.6,56,385.709802,1.0,0.0002,0.0002869759559631349,0.00014392452239990233,-0.0002220197677612304,
160,3.290897,5.7,57,389.128008,1.0,0.0002,0.00029448804855346667,0.00014471502304077148,0.0002373144149780274,
162,6.651368,5.8,58,392.430744,1.0,0.0002,0.00030191049575805664,0.00014539591789245604,-0.00025244884490966757,
164,3.406367,5.9,59,395.61801,1.0,0.0002,0.00030921249389648437,0.00014598297119140625,0.0002673614501953127,
166,6.535898,6.0,60,398.68980600000003,1.0,0.0002,0.00031686592102050785,0.00014645472526550295,-0.0002829990386962887,
168,3.521837,6.1,61,401.646132,1.0,0.0002,0.0003249336242675781,0.00014680973052978515,0.0002994869232177738,
170,6.420428,6.2,62,404.486988,1.0,0.0002,0.00033305139541625985,0.0001470470142364502,-0.00031609821319580076,
172,3.637307,6.3,63,407.212374,1.0,0.0002,0.0003418904304504395,0.00014716114997863767,0.0003341756820678713,
174,6.304958,6.4,64,409.82229,1.0,0.0002,0.00035164651870727543,0.0001471468448638916,-0.00035411205291748004,
176,3.752777,6.5,65,412.316736,1.0,0.0002,0.00036233549118042,0.0001470022964477539,0.0003759408950805665,
178,6.189488,6.6,66,414.695712,1.0,0.0002,0.0003742245674133301,0.00014672130584716795,-0.00040019931793212893,
180,3.868247,6.7,67,416.959218,1.0,0.0002,0.00038605794906616223,0.00014639877319335938,0.0004243715286254882,
182,6.074018,6.8,68,419.107254,1.0,0.0002,0.0003991378784179687,0.00014696002960205078,-0.0004510696411132811,
184,3.983717,6.9,69,421.13982,1.0,0.0002,0.0004124638557434083,0.0001486390686035156,0.0004782888412475585,
186,5.958548,7.0,70,423.056916,1.0,0.0002,0.0004275300025939942,0.00015030579566955568,-0.0005090219497680664,
188,4.099187,7.1,71,424.858542,1.0,0.0002,0.0004433916091918944,0.00015165777206420898,0.0005413784027099612,
190,5.843078,7.2,72,426.544698,1.0,0.0002,0.0004601560592651367,0.0001526760482788086,-0.0005755767822265623,
192,4.214657,7.3,73,428.115384,1.0,0.0002,0.00047850418090820295,0.00015333964347839357,0.000612975311279297,
194,5.727608,7.4,74,429.5706,1.0,0.0002,0.0004981164932250976,0.0001536420249938965,-0.0006529380798339843,
196,4.330127,7.5,75,430.910346,1.0,0.0002,0.0005190780639648437,0.00015408132553100586,0.0006956367492675784,
198,5.612138,7.6,76,432.134622,1.0,0.0002,0.0005416220664978029,0.00015489188194274902,-0.0007415334701538084,
200,4.445597,7.7,77,433.243428,1.0,0.0002,0.0005658937454223632,0.00015571359634399413,0.0007909229278564456,
202,5.496668,7.8,78,434.236764,1.0,0.0002,0.0005920392990112304,0.00015646037101745605,-0.0008440933227539063,
204,4.561067,7.9,79,435.11463,1.0,0.0002,0.000620151996612549,0.00015693483352661132,0.0009012281417846682,
206,5.381198,8.0,80,435.877026,1.0,0.0002,0.0006503281116485597,0.0001575116157531738,-0.0009625218391418455,
208,4.676537,8.1,81,436.523952,1.0,0.0002,0.000682606601715088,0.00015808481216430663,0.0010280378341674806,
210,5.265728,8.2,82,437.055408,1.0,0.0002,0.0007175094127655028,0.0001584986209869385,-0.0010988165855407715,
212,4.792007,8.3,83,437.471394,1.0,0.0002,0.0007547086715698243,0.00015888277053833008,0.0011741794586181643,
214,5.150258,8.4,84,437.77191,1.0,0.0002,0.0007946167469024658,0.00015924635887145996,-0.0012550404548645018,
216,4.907477,8.5,85,437.956956,1.0,0.0002,0.0008360033988952637,0.0001593882465362549,0.0013429834365844724,
218,5.034788,8.6,86,438.026532,1.0,0.0002,0.0008746260166168213,0.00015957938194274902,-0.0014475323677062986,
